year,arrivals
1980,207120
1981,159250
1982,98100
1983,61220
1984,70390
1985,67700
1986,62150
1987,64530
1988,76480
1989,107070
1990,122070
1991,113390
1992,115550
1993,114180
1994,111680
1995,98970
1996,75420
1997,69650
1998,76710
1999,85290
2000,72170
2001,68920
2002,26790
2003,28290
2004,52840
2005,53740
2006,41090
2007,48220
2008,60110
2009,74600
2010,73290
2011,56380
2012,58180
2013,69910
2014,69980
2015,69920
2016,84990
2017,53690
2018,22410
2019,29920
2020,11840
2021,11450
2022,25520
2023,60050
